image_name,ADI,BACK,DEB,LYM,MUC,NORM,STR,TUM
NCT-CRC-HE-100K/DEB/DEB-HIFPARYG.tif,0,0,1,0,0,0,0,0
NCT-CRC-HE-100K/BACK/BACK-GDRMDSQI.tif,0,1,0,0,0,0,0,0
NCT-CRC-HE-100K/LYM/LYM-LFYKRRSC.tif,0,0,0,1,0,0,0,0
NCT-CRC-HE-100K/ADI/ADI-NESNESQM.tif,1,0,0,0,0,0,0,0
NCT-CRC-HE-100K/BACK/BACK-MMINRRDL.tif,0,1,0,0,0,0,0,0
NCT-CRC-HE-100K/TUM/TUM-HEGGHPFH.tif,0,0,0,0,0,0,0,1
NCT-CRC-HE-100K/DEB/DEB-AAAPHWDG.tif,0,0,1,0,0,0,0,0
NCT-CRC-HE-100K/LYM/LYM-KKHWGGRA.tif,0,0,0,1,0,0,0,0
NCT-CRC-HE-100K/MUC/MUC-ENWLMCRK.tif,0,0,0,0,1,0,0,0
NCT-CRC-HE-100K/LYM/LYM-LPWCERYF.tif,0,0,0,1,0,0,0,0
NCT-CRC-HE-100K/ADI/ADI-NFLTCGFY.tif,1,0,0,0,0,0,0,0
NCT-CRC-HE-100K/LYM/LYM-NWYPICVY.tif,0,0,0,1,0,0,0,0
NCT-CRC-HE-100K/LYM/LYM-CHAQMYMN.tif,0,0,0,1,0,0,0,0
NCT-CRC-HE-100K/ADI/ADI-HVKLSWNM.tif,1,0,0,0,0,0,0,0
NCT-CRC-HE-100K/LYM/LYM-PCVDEWCL.tif,0,0,0,1,0,0,0,0
NCT-CRC-HE-100K/DEB/DEB-MFQTTHKM.tif,0,0,1,0,0,0,0,0
NCT-CRC-HE-100K/ADI/ADI-EHIYKHIV.tif,1,0,0,0,0,0,0,0
NCT-CRC-HE-100K/MUC/MUC-ISTEFDQC.tif,0,0,0,0,1,0,0,0
NCT-CRC-HE-100K/DEB/DEB-FENGQGTL.tif,0,0,1,0,0,0,0,0
NCT-CRC-HE-100K/DEB/DEB-NKACPADY.tif,0,0,1,0,0,0,0,0
NCT-CRC-HE-100K/LYM/LYM-PQMDRMTF.tif,0,0,0,1,0,0,0,0
NCT-CRC-HE-100K/BACK/BACK-HHQVYNAA.tif,0,1,0,0,0,0,0,0
NCT-CRC-HE-100K/MUC/MUC-LGEWISPV.tif,0,0,0,0,1,0,0,0
NCT-CRC-HE-100K/STR/STR-TNCLDCEL.tif,0,0,0,0,0,0,1,0
NCT-CRC-HE-100K/LYM/LYM-ISGEHNDV.tif,0,0,0,1,0,0,0,0
NCT-CRC-HE-100K/DEB/DEB-YADMARYP.tif,0,0,1,0,0,0,0,0
NCT-CRC-HE-100K/MUC/MUC-VSWVDWSM.tif,0,0,0,0,1,0,0,0
NCT-CRC-HE-100K/TUM/TUM-CYRYALTN.tif,0,0,0,0,0,0,0,1
NCT-CRC-HE-100K/DEB/DEB-NWAWQIHD.tif,0,0,1,0,0,0,0,0
NCT-CRC-HE-100K/MUC/MUC-ILHKWEMD.tif,0,0,0,0,1,0,0,0
NCT-CRC-HE-100K/NORM/NORM-AKWPQRCH.tif,0,0,0,0,0,1,0,0
NCT-CRC-HE-100K/BACK/BACK-GKVMFTVL.tif,0,1,0,0,0,0,0,0
NCT-CRC-HE-100K/TUM/TUM-HDNSVRMP.tif,0,0,0,0,0,0,0,1
NCT-CRC-HE-100K/NORM/NORM-KSDHWPGV.tif,0,0,0,0,0,1,0,0
NCT-CRC-HE-100K/TUM/TUM-DKNRLGVC.tif,0,0,0,0,0,0,0,1
NCT-CRC-HE-100K/BACK/BACK-ENMGLSKF.tif,0,1,0,0,0,0,0,0
NCT-CRC-HE-100K/DEB/DEB-VAMLPAVL.tif,0,0,1,0,0,0,0,0
NCT-CRC-HE-100K/NORM/NORM-PKNLYAPI.tif,0,0,0,0,0,1,0,0
NCT-CRC-HE-100K/MUC/MUC-KWIAAFLW.tif,0,0,0,0,1,0,0,0
NCT-CRC-HE-100K/ADI/ADI-CQCTACMA.tif,1,0,0,0,0,0,0,0
NCT-CRC-HE-100K/LYM/LYM-HCDFLDAN.tif,0,0,0,1,0,0,0,0
NCT-CRC-HE-100K/NORM/NORM-FNTAEMEM.tif,0,0,0,0,0,1,0,0
NCT-CRC-HE-100K/LYM/LYM-KSGECKLC.tif,0,0,0,1,0,0,0,0
NCT-CRC-HE-100K/MUC/MUC-DDNSLQQI.tif,0,0,0,0,1,0,0,0
NCT-CRC-HE-100K/NORM/NORM-QEICINDD.tif,0,0,0,0,0,1,0,0
NCT-CRC-HE-100K/MUC/MUC-FHKYEMMN.tif,0,0,0,0,1,0,0,0
NCT-CRC-HE-100K/DEB/DEB-YTCDTQFH.tif,0,0,1,0,0,0,0,0
NCT-CRC-HE-100K/NORM/NORM-VWKRQQIF.tif,0,0,0,0,0,1,0,0
NCT-CRC-HE-100K/NORM/NORM-YVILPIYE.tif,0,0,0,0,0,1,0,0
NCT-CRC-HE-100K/BACK/BACK-MLMKECEY.tif,0,1,0,0,0,0,0,0
NCT-CRC-HE-100K/DEB/DEB-IYHCNWPA.tif,0,0,1,0,0,0,0,0
NCT-CRC-HE-100K/STR/STR-GNYVSDGH.tif,0,0,0,0,0,0,1,0
NCT-CRC-HE-100K/STR/STR-HHWKCFNA.tif,0,0,0,0,0,0,1,0
NCT-CRC-HE-100K/DEB/DEB-PVNGNCYQ.tif,0,0,1,0,0,0,0,0
NCT-CRC-HE-100K/BACK/BACK-FCRSKEKI.tif,0,1,0,0,0,0,0,0
NCT-CRC-HE-100K/ADI/ADI-DMLYLWAA.tif,1,0,0,0,0,0,0,0
NCT-CRC-HE-100K/MUC/MUC-IAEYCFML.tif,0,0,0,0,1,0,0,0
NCT-CRC-HE-100K/MUC/MUC-WPIMPLPG.tif,0,0,0,0,1,0,0,0
NCT-CRC-HE-100K/STR/STR-VKCFPNAP.tif,0,0,0,0,0,0,1,0
NCT-CRC-HE-100K/BACK/BACK-DYQISRAK.tif,0,1,0,0,0,0,0,0
NCT-CRC-HE-100K/ADI/ADI-PLFFSMLM.tif,1,0,0,0,0,0,0,0
NCT-CRC-HE-100K/NORM/NORM-LYYICSDG.tif,0,0,0,0,0,1,0,0
NCT-CRC-HE-100K/STR/STR-TLILNLIA.tif,0,0,0,0,0,0,1,0
NCT-CRC-HE-100K/BACK/BACK-LYVVLFSI.tif,0,1,0,0,0,0,0,0
NCT-CRC-HE-100K/LYM/LYM-AGEYELNF.tif,0,0,0,1,0,0,0,0
NCT-CRC-HE-100K/ADI/ADI-FERCVHSR.tif,1,0,0,0,0,0,0,0
NCT-CRC-HE-100K/BACK/BACK-HKMWIECK.tif,0,1,0,0,0,0,0,0
NCT-CRC-HE-100K/BACK/BACK-ANQSNLCD.tif,0,1,0,0,0,0,0,0
NCT-CRC-HE-100K/ADI/ADI-SHDETYWY.tif,1,0,0,0,0,0,0,0
NCT-CRC-HE-100K/BACK/BACK-FGNQDMAT.tif,0,1,0,0,0,0,0,0
NCT-CRC-HE-100K/STR/STR-TGLMHSCH.tif,0,0,0,0,0,0,1,0
NCT-CRC-HE-100K/TUM/TUM-VRTFYGWG.tif,0,0,0,0,0,0,0,1
NCT-CRC-HE-100K/LYM/LYM-SMRHYHMM.tif,0,0,0,1,0,0,0,0
NCT-CRC-HE-100K/STR/STR-MVAYPQIR.tif,0,0,0,0,0,0,1,0
NCT-CRC-HE-100K/BACK/BACK-HMMYNWPW.tif,0,1,0,0,0,0,0,0
NCT-CRC-HE-100K/STR/STR-ISSGSTRC.tif,0,0,0,0,0,0,1,0
NCT-CRC-HE-100K/MUC/MUC-YGVSTDER.tif,0,0,0,0,1,0,0,0
NCT-CRC-HE-100K/LYM/LYM-RFLYAAYC.tif,0,0,0,1,0,0,0,0
NCT-CRC-HE-100K/BACK/BACK-ASTSQTFK.tif,0,1,0,0,0,0,0,0
NCT-CRC-HE-100K/STR/STR-WICDSRTP.tif,0,0,0,0,0,0,1,0
NCT-CRC-HE-100K/DEB/DEB-LETKKCKQ.tif,0,0,1,0,0,0,0,0
NCT-CRC-HE-100K/ADI/ADI-ELTYEDAD.tif,1,0,0,0,0,0,0,0
NCT-CRC-HE-100K/BACK/BACK-AHSFCQVW.tif,0,1,0,0,0,0,0,0
NCT-CRC-HE-100K/MUC/MUC-ADLWDMIC.tif,0,0,0,0,1,0,0,0
NCT-CRC-HE-100K/DEB/DEB-FHWIRQYS.tif,0,0,1,0,0,0,0,0
NCT-CRC-HE-100K/STR/STR-RTRGQAIW.tif,0,0,0,0,0,0,1,0
NCT-CRC-HE-100K/LYM/LYM-PVFKPSYW.tif,0,0,0,1,0,0,0,0
NCT-CRC-HE-100K/NORM/NORM-PRFSCAPC.tif,0,0,0,0,0,1,0,0
NCT-CRC-HE-100K/BACK/BACK-GKAAMMEW.tif,0,1,0,0,0,0,0,0
NCT-CRC-HE-100K/TUM/TUM-HKFVKAWL.tif,0,0,0,0,0,0,0,1
NCT-CRC-HE-100K/ADI/ADI-QGDDKADK.tif,1,0,0,0,0,0,0,0
NCT-CRC-HE-100K/MUC/MUC-MPRQEEMA.tif,0,0,0,0,1,0,0,0
NCT-CRC-HE-100K/LYM/LYM-DNKHEPWP.tif,0,0,0,1,0,0,0,0
NCT-CRC-HE-100K/DEB/DEB-KCRHDEWT.tif,0,0,1,0,0,0,0,0
NCT-CRC-HE-100K/ADI/ADI-FHFQALQY.tif,1,0,0,0,0,0,0,0
NCT-CRC-HE-100K/NORM/NORM-AMMHNARA.tif,0,0,0,0,0,1,0,0
NCT-CRC-HE-100K/BACK/BACK-FSSHKGYL.tif,0,1,0,0,0,0,0,0
NCT-CRC-HE-100K/ADI/ADI-NCSSQWQM.tif,1,0,0,0,0,0,0,0
NCT-CRC-HE-100K/MUC/MUC-WIPIVPQI.tif,0,0,0,0,1,0,0,0
NCT-CRC-HE-100K/ADI/ADI-PSCRCKNM.tif,1,0,0,0,0,0,0,0
NCT-CRC-HE-100K/TUM/TUM-CYERTKMP.tif,0,0,0,0,0,0,0,1
NCT-CRC-HE-100K/MUC/MUC-LGPWFQTM.tif,0,0,0,0,1,0,0,0
NCT-CRC-HE-100K/ADI/ADI-RMTYHNTD.tif,1,0,0,0,0,0,0,0
NCT-CRC-HE-100K/TUM/TUM-SDQNNWVT.tif,0,0,0,0,0,0,0,1
NCT-CRC-HE-100K/ADI/ADI-EANQTYHV.tif,1,0,0,0,0,0,0,0
NCT-CRC-HE-100K/STR/STR-GMTGAMLT.tif,0,0,0,0,0,0,1,0
NCT-CRC-HE-100K/TUM/TUM-IYNSTDVD.tif,0,0,0,0,0,0,0,1
NCT-CRC-HE-100K/DEB/DEB-WFTRGRFK.tif,0,0,1,0,0,0,0,0
NCT-CRC-HE-100K/STR/STR-RTIGFGWH.tif,0,0,0,0,0,0,1,0
NCT-CRC-HE-100K/ADI/ADI-CQCKNEIA.tif,1,0,0,0,0,0,0,0
NCT-CRC-HE-100K/TUM/TUM-WSNTQFFI.tif,0,0,0,0,0,0,0,1
NCT-CRC-HE-100K/ADI/ADI-LWKMMDHT.tif,1,0,0,0,0,0,0,0
NCT-CRC-HE-100K/STR/STR-KENIYQKW.tif,0,0,0,0,0,0,1,0
NCT-CRC-HE-100K/TUM/TUM-KWRYWPKT.tif,0,0,0,0,0,0,0,1
NCT-CRC-HE-100K/STR/STR-HYISIKHN.tif,0,0,0,0,0,0,1,0
NCT-CRC-HE-100K/NORM/NORM-EGVDNRDL.tif,0,0,0,0,0,1,0,0
NCT-CRC-HE-100K/TUM/TUM-PPNYWFYI.tif,0,0,0,0,0,0,0,1
NCT-CRC-HE-100K/DEB/DEB-SYCMSIDH.tif,0,0,1,0,0,0,0,0
NCT-CRC-HE-100K/LYM/LYM-VNKHICMV.tif,0,0,0,1,0,0,0,0
NCT-CRC-HE-100K/ADI/ADI-GQPPWYQF.tif,1,0,0,0,0,0,0,0
NCT-CRC-HE-100K/BACK/BACK-CHVDGTSD.tif,0,1,0,0,0,0,0,0
NCT-CRC-HE-100K/STR/STR-LLCRMWKI.tif,0,0,0,0,0,0,1,0
NCT-CRC-HE-100K/NORM/NORM-SAHYSSIY.tif,0,0,0,0,0,1,0,0
NCT-CRC-HE-100K/STR/STR-NEDLVNEE.tif,0,0,0,0,0,0,1,0
